Nama_Obat;Manufacturer;Content;Indications;Contraindications;Adverse_Reactions;Diseases;MIMS_Class
Atarax;Mersifarma TM;Alprazolam;Short-term therapy of moderate or severe anxiety & anxiety associated with depression.;Hypersensitivity to benzodiazepines. Acute narrow-angle glaucoma. Myasthenia gravis, acute pulmonary insufficiency, phobia, chronic psychotic obsession.;Drowsiness, ataxia/muscle weakness, amnesia, depression, light-headedness, confusion, hallucinations, blurred vision.;"Anxiety; Insomnia; Premenstrual Dysphoric Disorder.";Anxiolytics
Merlopam;Mersifarma TM;Lorazepam;Short-term treatment of anxiety or anxiety-related depression.;"Narrow-angle glaucoma; severe resp insufficiency; myasthenia gravis; sleep apnoea syndrome.";"Sedation followed by dizziness, weakness & unsteadiness; disorientation; depression; nausea; headache; sleep disturbance; agitation; dermatology symptoms; blurred vision; reduction of blood tension; amnesia; temporary memory disorder.";"Anxiety; Insomnia; Epilepsy; Epilepsy (Pediatric); Nausea & Vomiting.";Anxiolytics
Proclozam;Meprofarm;Clobazam;Conditions associated with anxiety, tension, sleep disorders caused by mental & emotional disorders.;Hypersensitivity. Myasthenia gravis. History of drug or alcohol dependence. Sleep apnoea syndrome. Severe resp failure or chronic obstructive airways disease accompanied by a threat of resp arrest. Pregnancy & lactation.;Fatigue, dry mouth, constipation, loss of appetite, nausea, dizziness, finger tremors, restlessness, irritability, muscle weakness, difficulty in sleeping, symptoms of irritability.;"Anxiety; Insomnia; Epilepsy; Epilepsy (Pediatric).";Anxiolytics
Renaquil;Fahrenheit;Lorazepam;Anxiety-related disorders, emotionally-induced autonomic symptoms & psychoneurotic disorders. Pre-surgical medication, the night before surgery.;"Primary depressive disorders; primary treatment of psychosis. Pregnancy. Childn <12 year.";"Drowsiness, dizziness, clumsiness, sedation, tiredness or weakness, sleep disturbances; change in appetite; visual disturbance; GI effects.";"Anxiety; Insomnia; Epilepsy; Epilepsy (Pediatric); Nausea & Vomiting.";Anxiolytics
Valdimex;Mersifarma TM;Diazepam;Short-term management of anxiety. Adjunct in the relief of muscle spasm & muscle hypertonicity. Alcohol withdrawal symptoms, pre- & post-op conditions.;"Resp depression; acute pulmonary insufficiency; sleep apnoea syndrome; not for chronic psychosis. Severe hepatic impairment. Injection: Neonates.";Drowsiness, lightheadedness, ataxia, amnesia, dependence, paradoxical increase in aggression, muscle weakness, libido changes.;"Anxiety; Insomnia; Epilepsy; Epilepsy (Pediatric); Low Back Pain.";Anxiolytics
Valisanbe;Sanbe;Diazepam;Neurotic states, psychosomatic states, rheumatic & traumatic muscular disorders. Alcohol withdrawal symptoms, status epilepticus, pre-op & post-op conditions.;"Severe psychoses; acute narrow-angle glaucoma; acute asthma attacks; myasthenia gravis. First trimester of pregnancy. Premature infants or neonates.";"Mental disturbance, drowsiness, amnesia, dependence; blurred vision; urinary retention; resp depression, hypotension.";"Anxiety; Insomnia; Epilepsy; Epilepsy (Pediatric); Low Back Pain.";Anxiolytics
Valisanbe Injection;Sanbe;Diazepam;Neurotic states, psychosomatic states, rheumatic & traumatic muscular disorders. Alcohol withdrawal symptoms, status epilepticus, pre-op & post-op conditions.;"Severe psychoses; acute narrow-angle glaucoma; acute asthma attacks; myasthenia gravis. First trimester of pregnancy. Premature infants or neonates.";"Mental disturbance, drowsiness, amnesia, dependence; blurred vision; urinary retention; resp depression, hypotension. Ataxia, pulmonary depression, tremor, vertigo, constipation, slurred speech.";"Anxiety; Insomnia; Epilepsy; Epilepsy (Pediatric).";Anxiolytics
Xanax;Pfizer;Alprazolam;Anxiety including anxiety neurosis, disorders & symptoms. Combination of anxiety & depression including anxiety associated with depression. Panic disorders with or without agoraphobia.;Hypersensitivity to benzodiazepines & alprazolam. Acute narrow-angle glaucoma.;"Depression; sedation, somnolence, ataxia, memory impairment, dysarthria, headache, dizziness; dry mouth, constipation; fatigue, irritability. Decreased appetite; confusional state, disorientation, decreased/increased libido, anxiety, insomnia, nervousness; balance disorder/impairment, coordination abnormal, disturbance in attention, hypersomnia, lethargy, tremor; blurred vision; nausea; sexual dysfunction; decreased/increased weight. Dermatitis.";"Anxiety; Insomnia; Premenstrual Dysphoric Disorder.";Anxiolytics
Xiety;Simex;Buspirone;General anxiety disorder & symptoms of nonspecific anxiety with or without depression.;Hypersensitivity.;Sedation, gastric discomfort, sleep difficulties, dizziness, restlessness, lightheadedness, nervousness.;"Anxiety; Premenstrual Dysphoric Disorder.";Anxiolytics
Zolysan;Sanbe;Alprazolam;"Anxiety including anxiety neurosis, disorders, symptoms of anxiety; mixed anxiety (depression, including anxiety associated with depression); panic disorders including panic disorder with or without agoraphobia.";Hypersensitivity to benzodiazepines, alprazolam. Acute narrow angle glaucoma.;Depression, sedation, somnolence, ataxia, memory impairment, dysarthria, dizziness, headache, constipation, dry mouth, fatigue, irritability. Drowsiness & slurred speech in patients with panic-related disorders. Decreased appetite, confusional state, disorientation, decreased or increased libido, anxiety, insomnia, nervousness, balance disorder, abnormal coordination, attention disturbance, hypersomnia, lethargy, tremor, blurred vision, nausea, dermatitis, sexual dysfunction, decreased & increased weight.;"Anxiety; Premenstrual Dysphoric Disorder; Insomnia.";Anxiolytics
